"","country","year","iso2","iso3","iso.numeric","g.whoregion","service.changes","opd.visits.down.ds","opd.visits.down.dr","drugs.up","nominate.collect","drugs.home.delivery","remote.advice.up","opd.places.down.ds","opd.places.down.dr","hosp.places.down.ds","hosp.places.down.dr","other.service.changes","tb.self.isolation","resource.reallocated","gxp.reassigned","ntp.central.reassigned","ntp.periph.reassigned","budget.reallocated","other.reallocation","nsp.end.tb","nsp.updated.unhlm","nsp.civil.soc","annual.report.published","ms.review","ms.review.doc","ms.review.civil.soc","ms.review.recs.published","ms.review.recs.url","min.agg.collab","min.def.collab","min.edu.collab","min.fin.collab","min.jus.collab","min.lab.collab","min.dev.collab","min.tra.collab","other.min.collab","social.protn","free.access","free.access.tbdx","free.access.tbtx","enable.tx.adherence","cond.cash.trans","cash.trans","food.security","other.social.protn","protect.employment","protect.housing","protect.parenting","protect.movement","protect.association"
"211","France",2023,"FR","FRA",250,"EUR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,232,6,6,6,6,231,6,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"212","Micronesia (Federated States of)",2020,"FM","FSM",583,"WPR",1,1,1,0,1,0,0,1,0,0,0,"Country is still free of COVID 19 and patients are still receiving DOT treatment by DOT workers but once there is a positive case in country, health service visit will be decreased. Medications will be provided on monthly phone monitoring",1,0,NA,NA,NA,NA,NA,1,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"213","Micronesia (Federated States of)",2021,"FM","FSM",583,"WPR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"214","Micronesia (Federated States of)",2023,"FM","FSM",583,"WPR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,6,6,230,231,6,231,230,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"215","Gabon",2020,"GA","GAB",266,"AFR",1,1,1,0,1,1,1,0,0,0,0,"Les médicaments de la TB ont été remis aux domicile des patients pour éviter leurs déplacements vers les structures sanitaires.",1,1,1,1,0,1,NA,1,1,1,1,1,1,1,1,"Le lien du site OMS régional  et des documents physiques qui sont souvent remis au PNLT.Aussi la presence d'un CCM  facilite les echances  entre les directions multisectorielles pour la prise des decisions.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"216","Gabon",2022,"GA","GAB",266,"AFR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,NA,NA,1,3,NA,3,NA,1,1,0,1,1
"217","Gabon",2023,"GA","GAB",266,"AFR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,1,NA,NA,2,231,230,231,231,2,232,2,NA,1,NA,1,1,0,NA,0,0,NA,1,1,1,1,1
"218","United Kingdom of Great Britain and Northern Ireland",2020,"GB","GBR",826,"EUR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"219","United Kingdom of Great Britain and Northern Ireland",2021,"GB","GBR",826,"EUR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"220","United Kingdom of Great Britain and Northern Ireland",2023,"GB","GBR",826,"EUR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"221","Georgia",2020,"GE","GEO",268,"EUR",1,1,1,1,0,1,1,0,0,0,0,"98% of DR-TB Patient received video observed treatment (VOT). All patients receive monthly drug stock through home delivery of anti-TB drugs.",1,1,1,0,1,1,"NA",1,1,1,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"222","Georgia",2021,"GE","GEO",268,"EUR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"223","Georgia",2022,"GE","GEO",268,"EUR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"224","Georgia",2023,"GE","GEO",268,"EUR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,1,NA,NA,6,6,230,232,231,2,2,2,"CCM is an equivalent of a high-level multi-stakeholder, multi-sectoral accountability mechanism.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"225","Ghana",2020,"GH","GHA",288,"AFR",1,1,0,1,1,3,1,0,0,0,0,"Patients diagnosed with TB have to wait for COVID-19 results before TB treatment is initiated because a confirmed TB patient who was initiated on TB treatment was later diagnosed COVID-19 positive ",0,1,1,0,0,1,"COV.3.3 At the sub-national level, there are no designated NTP staff because the Ghana Health Service operates integrated health service.  Some staff were thus involved in COVID-19 response in addition to the routine TB services.",1,1,1,1,1,1,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"226","Ghana",2023,"GH","GHA",288,"AFR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,1,NA,NA,2,2,230,232,2,2,232,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"227","Guinea",2020,"GN","GIN",324,"AFR",1,1,1,1,1,0,1,0,0,0,0,"UN AGENT DE SANTE OU UN PARENT PROCHE DU MALADE PEUT RETIRER LES MEDICAMENTS EN CAS DE CONFINEMENT EMPECHANT LE PATIENT DE SE RENDRE A LHOPITAL OU AU CDT",1,1,0,0,1,1,"UN PLAN DE CONTINGENCE AVEC UN BUDGET DE 364 248 USD ETE ELABORE POUR ATTENUER LES CONSEQUENCES DE LA SURVENUE DU COVID 19 SUR LA LUTTE CONTRE LA TUBERCULOSE;IL RENFERME DES ACTIVITES DE PREVENTION ET DE PROTECTION DU PERSONNEL ET DES MALADES ETC",1,1,1,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"228","Guinea",2021,"GN","GIN",324,"AFR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"229","Guinea",2022,"GN","GIN",324,"AFR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"230","Guinea",2023,"GN","GIN",324,"AFR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,NA,NA,NA,NA,230,231,230,231,230,6,232,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"231","Gambia",2020,"GM","GMB",270,"AFR",1,1,1,0,1,0,0,0,0,1,1,"The only MDR-TB treatment centre has been turned into COVID 19 isolation and treatment centre.",0,0,NA,NA,NA,NA,NA,1,0,1,0,1,1,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"232","Gambia",2021,"GM","GMB",270,"AFR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"233","Gambia",2023,"GM","GMB",270,"AFR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,1,NA,NA,230,230,230,230,230,230,6,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"234","Guinea-Bissau",2020,"GW","GNB",624,"AFR",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,1,0,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"235","Guinea-Bissau",2021,"GW","GNB",624,"AFR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"236","Guinea-Bissau",2022,"GW","GNB",624,"AFR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"237","Guinea-Bissau",2023,"GW","GNB",624,"AFR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,6,6,6,232,6,6,6,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"238","Equatorial Guinea",2020,"GQ","GNQ",226,"AFR",1,1,0,1,1,0,0,0,0,0,0,"no",1,1,3,0,1,0,"no",0,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"239","Equatorial Guinea",2021,"GQ","GNQ",226,"AFR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"240","Equatorial Guinea",2022,"GQ","GNQ",226,"AFR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"241","Equatorial Guinea",2023,"GQ","GNQ",226,"AFR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,6,6,6,6,231,6,6,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"242","Greece",2020,"GR","GRC",300,"EUR",1,1,0,1,1,1,1,1,0,1,0,NA,1,1,0,1,1,3,NA,0,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"243","Greece",2021,"GR","GRC",300,"EUR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"244","Greece",2022,"GR","GRC",300,"EUR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"245","Greece",2023,"GR","GRC",300,"EUR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"246","Grenada",2020,"GD","GRD",308,"AMR",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,1,1,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"247","Grenada",2021,"GD","GRD",308,"AMR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"248","Grenada",2022,"GD","GRD",308,"AMR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"249","Grenada",2023,"GD","GRD",308,"AMR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,6,6,6,6,6,6,232,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"250","Greenland",2020,"GL","GRL",304,"EUR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"251","Greenland",2023,"GL","GRL",304,"EUR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,0,NA,NA,6,6,6,6,6,6,6,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"252","Guatemala",2020,"GT","GTM",320,"AMR",1,1,1,0,1,1,1,0,0,0,0,"SE TIENE UN PLAN DE DE TUBERCULOSIS Y COVID-19, EN DONDE S ESTABLECE EL DIFERENTES ESTRATEGIAS PARA LA ADMINISTRACION DEL TRATAMIENTO, EN DONDE SE ENCUENTRA, LA ENTREGA INSITUCIONAL, LA ENTREGA EN DOMICILIO, APOYO CON UN LIDER COMUNITARIO, VTO",1,1,3,1,1,1,"Fondos del FM, fueron destinados para uña campaña de comunicacion, asi mismo se ha disminuido las visitas presenciales por falta de transporte, pero se mantiene el monitoreo en linea o por telefono. ",1,1,0,1,1,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"253","Guatemala",2023,"GT","GTM",320,"AMR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,6,6,6,6,231,231,6,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"254","Guam",2020,"GU","GUM",316,"WPR",1,1,1,1,1,1,1,0,0,0,0,"None",1,1,1,1,0,0,"All patients were served during the response using  Video DOT and Self-Administered Therapy (SAT). Those on SAT were issued 2 weeks dose and V DOT patients got 1 month of TB medicine. They were followed up with daily compliance calls by the TB staff.",1,1,1,1,1,1,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"255","Guam",2023,"GU","GUM",316,"WPR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,NA,NA,NA,NA,6,6,230,6,6,6,6,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"256","Guyana",2020,"GY","GUY",328,"AMR",1,1,1,1,1,1,1,0,0,0,0,"NIL",1,1,0,0,0,1,"The NTP has been assigned additional duties of looking into homeless and COVID -19, they have engaged in sensitization of the disease to homeless, distribution of masks, sanitizes and other hygienic items, and distribution of meals (all donated).",1,0,1,1,1,1,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"257","Guyana",2023,"GY","GUY",328,"AMR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,NA,1,NA,NA,230,230,230,232,230,230,232,231,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"258","China, Hong Kong SAR",2020,"HK","HKG",344,"WPR",1,1,0,0,0,0,0,0,0,0,0,"Nil",1,1,0,1,1,0,"Nil",0,NA,NA,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"259","China, Hong Kong SAR",2021,"HK","HKG",344,"WPR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"260","China, Hong Kong SAR",2022,"HK","HKG",344,"WPR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"261","China, Hong Kong SAR",2023,"HK","HKG",344,"WPR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,NA,NA,NA,NA,6,2,230,231,231,230,232,6,"For 5.5: Hong Kong is a special administrative region of China and there is no Ministry of Defence which is at a country level.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"262","Honduras",2020,"HN","HND",340,"AMR",1,1,1,0,1,1,1,0,0,0,0,"El tratamiento de tuberculosis es brindado por el personal del primer nivel de atención y no por el segundo nivel (hospitales) a excepción de los pacientes TBDR que se les brinda el tratamiento de segunda linea que se brinda en el Instituto Nacional",1,0,NA,NA,NA,NA,NA,1,0,1,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"263","Honduras",2021,"HN","HND",340,"AMR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"264","Honduras",2022,"HN","HND",340,"AMR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"265","Honduras",2023,"HN","HND",340,"AMR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,NA,NA,NA,NA,6,6,6,6,231,6,6,6,"La Secretaría de Seguridad a través del Instituto Nacional Penitenciario realiza actividades de promoción , prevención, diagnóstico y tratamiento a las personas diagnosticadas con Tuberculosis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"266","Croatia",2020,"HR","HRV",191,"EUR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"267","Croatia",2021,"HR","HRV",191,"EUR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"268","Croatia",2022,"HR","HRV",191,"EUR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"269","Croatia",2023,"HR","HRV",191,"EUR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"270","Haiti",2020,"HT","HTI",332,"AMR",1,1,1,1,1,0,1,0,0,0,0,NA,0,0,NA,NA,NA,NA,NA,1,1,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"271","Haiti",2021,"HT","HTI",332,"AMR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"272","Haiti",2022,"HT","HTI",332,"AMR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"273","Haiti",2023,"HT","HTI",332,"AMR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,0,NA,NA,6,2,6,231,231,231,6,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"274","Hungary",2020,"HU","HUN",348,"EUR",1,1,1,1,1,0,1,1,1,3,3,"The answer to COVID was not uniform. Some outpatient centers have operated as before, some introduced new ways of reaching patients and providing care, a few of them had been closed for two months not providing TB care.",1,1,1,1,3,3,"x",0,NA,NA,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"275","Hungary",2021,"HU","HUN",348,"EUR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"276","Hungary",2022,"HU","HUN",348,"EUR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"277","Hungary",2023,"HU","HUN",348,"EUR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,NA,NA,NA,NA,2,2,2,2,2,2,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"278","Indonesia",2020,"ID","IDN",360,"SEA",1,1,1,1,1,1,1,1,1,1,1,"Of 239 DR-TB referral hospital providing DR TB service in Indonesia, 212 are also appointed as Covid hospital (by MoH or by Governor Decree), most of the trained – DR TB Clinical Expert team are deployed for Covid.",1,1,1,1,1,1,".",1,1,1,1,1,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"279","Indonesia",2022,"ID","IDN",360,"SEA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,1,1,NA,1,"Educational purpose package for school age family member of TB patient",1,1,0,1,1
